origen,destino,via,distancia_km,tiempo_min,costo_sol,congestion,demanda_zona
0,33,Av. Caminos del Inca,0.1273,1.74,1.01,alta,baja
0,1051,Via Expresa,0.1377,1.11,1.35,alta,baja
0,52,Av. Santa Cruz,0.15,2.25,1.09,alta,baja
0,374,Av. Salaverry,0.4972,2.63,1.58,media,baja
0,940,Av. Universitaria,0.5224,2.86,1.42,alta,baja
0,988,Av. Arequipa,0.5317,2.6,0.94,baja,baja
1,824,Av. La Marina,0.0308,0.69,0.77,baja,media
1,516,Via Expresa,0.5921,2.57,1.09,media,media
1,800,Av. Colonial,0.6478,3.05,1.83,baja,media
1,233,Av. Benavides,0.6494,2.56,2.05,baja,media
1,729,Av. Aviacion,0.7303,3.18,1.91,baja,media
1,294,Av. Javier Prado,0.7787,2.83,1.91,baja,media
2,354,Av. Javier Prado,0.4767,2.29,1.96,alta,baja
2,1254,Av. Santa Cruz,0.5738,2.93,2.01,media,baja
2,160,Av. Santa Cruz,0.6104,2.58,1.79,baja,baja
2,787,Av. Colonial,0.6114,3.06,1.57,baja,baja
2,395,Av. Brasil,0.9584,2.88,2.35,alta,baja
2,975,Av. La Marina,1.1559,3.43,2.29,alta,baja
3,342,Av. 28 de Julio,0.1566,1.45,1.43,baja,media
3,318,Av. Angamos,0.1852,1.09,1.27,media,media
3,1267,Av. Benavides,0.2112,1.3,0.61,alta,media
3,18,Av. La Encalada,0.2518,1.76,1.58,baja,media
3,165,Av. Caminos del Inca,0.3329,2.52,0.75,media,media
3,1326,Av. Angamos,0.4959,2.22,1.27,media,media
4,605,Av. Caminos del Inca,0.432,2.22,1.39,alta,baja
4,713,Av. Aviacion,0.4332,2.63,1.19,media,baja
4,341,Av. Primavera,0.7128,2.45,1.39,alta,baja
4,1027,Av. Angamos,0.813,3.81,2.24,alta,baja
4,1025,Av. Arequipa,0.8435,2.6,1.44,media,baja
4,606,Av. La Encalada,0.903,3.32,1.63,alta,baja
5,436,Av. 28 de Julio,0.2795,2.01,0.82,baja,baja
5,130,Av. Brasil,0.4465,2.58,1.32,baja,baja
5,256,Av. Caminos del Inca,0.4485,2.23,1.95,media,baja
5,854,Av. Benavides,0.4767,2.06,1.63,alta,baja
5,1153,Av. La Marina,0.6062,3.11,1.92,media,baja
5,886,Av. Primavera,0.6154,2.46,1.6,media,baja
6,851,Av. Brasil,0.2545,2.43,1.19,media,media
6,748,Av. Petit Thouars,0.3982,2.46,1.95,baja,media
6,313,Av. La Marina,0.4469,2.93,1.97,alta,media
6,1193,Av. Santa Cruz,0.4801,2.59,1.99,media,media
6,1399,Av. La Encalada,0.4935,2.35,1.97,alta,media
6,205,Av. Arequipa,0.5093,3.15,0.98,media,media
7,34,Av. El Derby,0.3984,2.05,1.58,baja,baja
7,182,Av. Primavera,0.5939,2.56,2.13,alta,baja
7,447,Av. La Marina,0.6453,2.25,1.91,baja,baja
7,1493,Av. Universitaria,0.7259,3.56,1.88,alta,baja
