nodo_id,nombre,tipo,distrito,demanda_nivel,latitud,longitud,pedidos_hora,capacidad
0,Cliente #0 (Los Olivos),cliente,Los Olivos,baja,-11.975071,-77.066082,4,2
1,Intersec. Av. La Marina (Chorrillos),interseccion,Chorrillos,media,-12.177557,-77.001971,0,0
2,Intersec. Av. Primavera (Puente Piedra),interseccion,Puente Piedra,baja,-11.856303,-77.072184,0,0
3,Intersec. Via Expresa (Lince),interseccion,Lince,media,-12.104343,-77.027291,0,0
4,Intersec. Av. Arequipa (Santa Anita),interseccion,Santa Anita,baja,-12.03875,-76.953138,0,0
5,Intersec. Av. La Marina (Carabayllo),interseccion,Carabayllo,baja,-11.868277,-77.04318,0,0
6,Hub Rappi Brena,hub_rappi,Brena,media,-12.049971,-77.034668,407,304
7,Intersec. Av. Primavera (Ate),interseccion,Ate,baja,-12.023255,-76.925433,0,0
8,Intersec. Av. Santa Cruz (San Borja),interseccion,San Borja,alta,-12.126122,-76.989806,0,0
9,Intersec. Av. Primavera (La Molina),interseccion,La Molina,media,-12.088744,-76.960236,0,0
10,Cliente #10 (Chorrillos),cliente,Chorrillos,media,-12.186558,-77.018475,4,3
11,Cliente #11 (Santa Anita),cliente,Santa Anita,baja,-12.057005,-76.977467,1,2
12,Cliente #12 (Lurin),cliente,Lurin,baja,-12.285373,-76.874922,2,2
13,Intersec. Av. Angamos (Los Olivos),interseccion,Los Olivos,baja,-11.991082,-77.051845,0,0
14,Intersec. Av. Javier Prado (Surco),interseccion,Surco,alta,-12.164584,-76.97801,0,0
15,Intersec. Av. Javier Prado (San Borja),interseccion,San Borja,alta,-12.127589,-76.99891,0,0
16,Intersec. Av. Primavera (Independencia),interseccion,Independencia,baja,-11.996061,-77.050908,0,0
17,Intersec. Av. Brasil (Villa El Salvador),interseccion,Villa El Salvador,baja,-12.226707,-76.957841,0,0
18,Intersec. Av. Petit Thouars (Lince),interseccion,Lince,media,-12.10536,-77.025222,0,0
19,Intersec. Av. Santa Cruz (Brena),interseccion,Brena,media,-12.080682,-77.03982,0,0
